image,class,gt_class,box,conf,iou,error_type
IMG_0825_JPG.rf.0b74a04d28109d26041490fddd9b65ec.jpg,0,0,"[371.0, 125.0, 409.0, 190.0]",0.0,0.0,false_negative
IMG_0827_JPG.rf.78c9d511cc7646f46f1fff586e208845.jpg,0,0,"[268.0, 92.0, 335.0, 200.0]",0.0,0.2442,false_negative
image011_jpg.rf.420e336430c3ef06843a3c3015e855ca.jpg,1,0,"[255.8, 317.5, 320.4, 409.8]",0.4039,0.8723,class_confusion
image011_jpg.rf.420e336430c3ef06843a3c3015e855ca.jpg,1,0,"[165.7, 291.9, 233.0, 389.8]",0.3844,0.8637,class_confusion
image011_jpg.rf.420e336430c3ef06843a3c3015e855ca.jpg,1,1,"[322.0, 281.0, 400.0, 442.0]",0.0,0.0,false_negative
image011_jpg.rf.420e336430c3ef06843a3c3015e855ca.jpg,1,1,"[81.5, 225.0, 170.5, 402.0]",0.0,0.0217,false_negative
image011_jpg.rf.420e336430c3ef06843a3c3015e855ca.jpg,0,0,"[85.0, 275.0, 144.0, 370.0]",0.0,0.0,false_negative
image011_jpg.rf.420e336430c3ef06843a3c3015e855ca.jpg,0,0,"[336.5, 332.0, 393.5, 427.0]",0.0,0.0,false_negative
image019_jpg.rf.48b4e6dad66fef0c0837185f946bb582.jpg,0,0,"[269.0, 117.5, 325.0, 259.5]",0.0,0.0,false_negative
image019_jpg.rf.48b4e6dad66fef0c0837185f946bb582.jpg,0,0,"[191.0, 113.5, 249.0, 256.5]",0.0,0.0,false_negative
image019_jpg.rf.48b4e6dad66fef0c0837185f946bb582.jpg,1,1,"[106.0, 53.5, 198.0, 305.5]",0.0,0.1072,false_negative
image019_jpg.rf.48b4e6dad66fef0c0837185f946bb582.jpg,0,0,"[115.5, 104.5, 179.5, 281.5]",0.0,0.0535,false_negative
image019_jpg.rf.48b4e6dad66fef0c0837185f946bb582.jpg,1,1,"[332.0, 32.5, 423.0, 296.5]",0.0,0.0,false_negative
image019_jpg.rf.48b4e6dad66fef0c0837185f946bb582.jpg,0,0,"[357.5, 94.0, 409.5, 233.0]",0.0,0.0,false_negative
image030_JPG.rf.30a8fe4928bf8c0501a5afabb6603fe9.jpg,0,-1,"[65.9, 216.6, 106.6, 272.2]",0.7327,0.0,false_positive
image030_JPG.rf.30a8fe4928bf8c0501a5afabb6603fe9.jpg,0,-1,"[352.5, 274.7, 393.9, 326.2]",0.324,0.0,false_positive
image032_jpg.rf.1853ad9b6b07acb4990d86ff6f636c6d.jpg,0,-1,"[423.0, 233.4, 484.6, 307.7]",0.5997,0.0,false_positive
image032_jpg.rf.1853ad9b6b07acb4990d86ff6f636c6d.jpg,0,-1,"[82.6, 260.2, 150.4, 331.8]",0.5896,0.0,false_positive
image032_jpg.rf.1853ad9b6b07acb4990d86ff6f636c6d.jpg,1,-1,"[391.6, 199.4, 489.3, 333.6]",0.5247,0.0,false_positive
image032_jpg.rf.1853ad9b6b07acb4990d86ff6f636c6d.jpg,1,-1,"[77.8, 228.3, 173.4, 351.7]",0.322,0.0,false_positive
image067_JPG.rf.380ad2417869a2ae0b4582e713ff86cb.jpg,0,-1,"[300.6, 183.7, 390.2, 296.6]",0.7424,0.0,false_positive
image067_JPG.rf.380ad2417869a2ae0b4582e713ff86cb.jpg,1,-1,"[332.2, 199.2, 383.7, 266.3]",0.7302,0.0,false_positive
image067_JPG.rf.380ad2417869a2ae0b4582e713ff86cb.jpg,0,-1,"[276.3, 278.5, 356.4, 388.0]",0.5765,0.3474,false_positive
image067_JPG.rf.380ad2417869a2ae0b4582e713ff86cb.jpg,0,-1,"[65.1, 166.5, 116.5, 236.8]",0.5223,0.0,false_positive
image069_JPG.rf.325aa680a059d0b7db20babef0cbe097.jpg,1,0,"[100.0, 222.9, 142.4, 274.9]",0.6109,0.7122,class_confusion
image069_JPG.rf.325aa680a059d0b7db20babef0cbe097.jpg,0,-1,"[95.7, 216.1, 178.8, 305.7]",0.6688,0.3333,false_positive
image069_JPG.rf.325aa680a059d0b7db20babef0cbe097.jpg,0,0,"[156.5, 272.0, 225.5, 396.0]",0.0,0.0492,false_negative
image069_JPG.rf.325aa680a059d0b7db20babef0cbe097.jpg,0,0,"[163.0, 296.5, 205.0, 354.5]",0.0,0.0149,false_negative
image079_JPG.rf.78c8bd47db6f022a07a13da2c746b354.jpg,0,1,"[98.4, 200.4, 161.7, 304.8]",0.6776,0.7871,class_confusion
image079_JPG.rf.78c8bd47db6f022a07a13da2c746b354.jpg,0,0,"[366.6, 200.6, 439.3, 320.5]",0.2515,0.4024,localization_error
image079_JPG.rf.78c8bd47db6f022a07a13da2c746b354.jpg,1,-1,"[97.8, 202.1, 163.9, 305.4]",0.523,0.753,false_positive
image079_JPG.rf.78c8bd47db6f022a07a13da2c746b354.jpg,1,-1,"[99.7, 221.7, 141.7, 280.9]",0.3567,0.7952,false_positive
image079_JPG.rf.78c8bd47db6f022a07a13da2c746b354.jpg,0,-1,"[314.8, 183.8, 380.6, 311.8]",0.3416,0.7758,false_positive
image079_JPG.rf.78c8bd47db6f022a07a13da2c746b354.jpg,1,1,"[291.5, 301.8, 342.5, 389.2]",0.0,0.0221,false_negative
image079_JPG.rf.78c8bd47db6f022a07a13da2c746b354.jpg,1,1,"[147.2, 304.5, 193.8, 409.5]",0.0,0.0012,false_negative
image079_JPG.rf.78c8bd47db6f022a07a13da2c746b354.jpg,0,0,"[59.0, 226.8, 96.0, 293.2]",0.0,0.0,false_negative
image079_JPG.rf.78c8bd47db6f022a07a13da2c746b354.jpg,0,0,"[97.5, 314.2, 133.5, 390.8]",0.0,0.0,false_negative
image079_JPG.rf.78c8bd47db6f022a07a13da2c746b354.jpg,0,0,"[147.5, 318.0, 181.5, 381.0]",0.0,0.0,false_negative
image079_JPG.rf.78c8bd47db6f022a07a13da2c746b354.jpg,0,0,"[202.8, 314.2, 235.2, 381.8]",0.0,0.0,false_negative
image079_JPG.rf.78c8bd47db6f022a07a13da2c746b354.jpg,0,0,"[249.8, 312.2, 285.2, 379.8]",0.0,0.0,false_negative
image079_JPG.rf.78c8bd47db6f022a07a13da2c746b354.jpg,0,0,"[359.0, 318.2, 399.0, 397.8]",0.0,0.0063,false_negative
image079_JPG.rf.78c8bd47db6f022a07a13da2c746b354.jpg,0,0,"[308.8, 313.2, 341.2, 378.8]",0.0,0.0,false_negative
image089_JPG.rf.4f5f1508b750f98bef2d8634c10cfbb3.jpg,1,0,"[208.8, 196.1, 270.2, 265.5]",0.3639,0.754,class_confusion
image089_JPG.rf.4f5f1508b750f98bef2d8634c10cfbb3.jpg,0,-1,"[209.3, 195.2, 270.3, 268.4]",0.5355,0.7353,false_positive
image089_JPG.rf.4f5f1508b750f98bef2d8634c10cfbb3.jpg,0,-1,"[200.4, 171.8, 289.9, 296.5]",0.4919,0.5068,false_positive
image089_JPG.rf.4f5f1508b750f98bef2d8634c10cfbb3.jpg,1,1,"[133.5, 165.5, 189.5, 249.5]",0.0,0.5086,false_negative
image090_JPG.rf.2e735899e8bdbe44a43da3c15d3c0019.jpg,0,-1,"[239.7, 246.2, 315.9, 377.8]",0.7316,0.2971,false_positive
image090_JPG.rf.2e735899e8bdbe44a43da3c15d3c0019.jpg,1,-1,"[114.2, 253.6, 180.9, 368.2]",0.7102,0.2937,false_positive
image090_JPG.rf.2e735899e8bdbe44a43da3c15d3c0019.jpg,0,-1,"[204.3, 159.2, 253.3, 231.5]",0.3984,0.0,false_positive
image090_JPG.rf.2e735899e8bdbe44a43da3c15d3c0019.jpg,1,1,"[171.0, 242.0, 243.0, 377.0]",0.0,0.4304,false_negative
image090_JPG.rf.2e735899e8bdbe44a43da3c15d3c0019.jpg,0,0,"[308.2, 244.8, 388.8, 366.2]",0.0,0.2518,false_negative
image118_JPG.rf.72119838ca90c41758624b570e938af1.jpg,1,-1,"[270.4, 168.3, 354.2, 262.6]",0.7945,0.2911,false_positive
image118_JPG.rf.72119838ca90c41758624b570e938af1.jpg,0,-1,"[146.5, 253.2, 229.5, 369.3]",0.6786,0.0123,false_positive
image118_JPG.rf.72119838ca90c41758624b570e938af1.jpg,0,-1,"[157.8, 277.1, 207.8, 342.8]",0.5216,0.0,false_positive
image118_JPG.rf.72119838ca90c41758624b570e938af1.jpg,1,-1,"[289.1, 256.6, 349.0, 362.8]",0.494,0.0035,false_positive
image121_JPG.rf.461872b0330e4808f91f6cfb3322f415.jpg,1,1,"[311.5, 278.5, 369.5, 381.5]",0.0,0.448,false_negative
image121_JPG.rf.461872b0330e4808f91f6cfb3322f415.jpg,0,0,"[113.5, 260.5, 183.5, 361.5]",0.0,0.4362,false_negative
image121_JPG.rf.461872b0330e4808f91f6cfb3322f415.jpg,0,0,"[377.5, 285.5, 407.5, 357.5]",0.0,0.0,false_negative
image127_JPG.rf.0160edce7aae8582e58b7b512fad1c8e.jpg,1,-1,"[130.1, 158.3, 216.0, 299.0]",0.8076,0.0,false_positive
image127_JPG.rf.0160edce7aae8582e58b7b512fad1c8e.jpg,0,-1,"[64.9, 194.1, 113.7, 263.8]",0.7327,0.0,false_positive
image127_JPG.rf.0160edce7aae8582e58b7b512fad1c8e.jpg,0,-1,"[143.9, 204.8, 191.8, 273.6]",0.7132,0.0,false_positive
image127_JPG.rf.0160edce7aae8582e58b7b512fad1c8e.jpg,1,-1,"[343.7, 201.5, 391.1, 261.3]",0.6113,0.0,false_positive
image127_JPG.rf.0160edce7aae8582e58b7b512fad1c8e.jpg,0,-1,"[315.3, 189.6, 395.7, 273.5]",0.5987,0.0,false_positive
image127_JPG.rf.0160edce7aae8582e58b7b512fad1c8e.jpg,0,-1,"[225.1, 200.8, 277.8, 273.7]",0.5221,0.0,false_positive
image141_JPG.rf.24da879c8535f17b80679c2d81e16c81.jpg,0,-1,"[374.7, 208.5, 415.4, 268.0]",0.3412,0.0,false_positive
image141_JPG.rf.24da879c8535f17b80679c2d81e16c81.jpg,0,-1,"[58.0, 193.8, 97.0, 252.0]",0.2938,0.0,false_positive
image141_JPG.rf.24da879c8535f17b80679c2d81e16c81.jpg,0,-1,"[346.9, 317.7, 393.3, 391.1]",0.2858,0.0,false_positive
image148_JPG.rf.30a10f7ff9f60d018011be2f8b056fc8.jpg,0,1,"[153.7, 266.6, 199.9, 339.6]",0.2957,0.8585,class_confusion
image148_JPG.rf.30a10f7ff9f60d018011be2f8b056fc8.jpg,0,-1,"[278.3, 221.3, 305.8, 258.3]",0.4746,0.0801,false_positive
image148_JPG.rf.30a10f7ff9f60d018011be2f8b056fc8.jpg,0,-1,"[248.6, 231.8, 270.1, 258.5]",0.4637,0.0,false_positive
image148_JPG.rf.30a10f7ff9f60d018011be2f8b056fc8.jpg,0,-1,"[164.1, 234.8, 202.6, 283.5]",0.4262,0.1109,false_positive
image148_JPG.rf.30a10f7ff9f60d018011be2f8b056fc8.jpg,1,-1,"[170.0, 244.1, 194.5, 276.7]",0.4064,0.0536,false_positive
image148_JPG.rf.30a10f7ff9f60d018011be2f8b056fc8.jpg,0,-1,"[221.4, 236.0, 243.7, 268.2]",0.3814,0.0,false_positive
image148_JPG.rf.30a10f7ff9f60d018011be2f8b056fc8.jpg,1,-1,"[147.1, 476.6, 220.9, 512.0]",0.3323,0.0,false_positive
image148_JPG.rf.30a10f7ff9f60d018011be2f8b056fc8.jpg,0,-1,"[195.0, 240.2, 216.8, 267.1]",0.2515,0.0,false_positive
image148_JPG.rf.30a10f7ff9f60d018011be2f8b056fc8.jpg,1,1,"[274.0, 247.0, 315.0, 324.0]",0.0,0.0801,false_negative
image148_JPG.rf.30a10f7ff9f60d018011be2f8b056fc8.jpg,0,0,"[244.0, 271.5, 272.0, 305.5]",0.0,0.0,false_negative
image148_JPG.rf.30a10f7ff9f60d018011be2f8b056fc8.jpg,0,0,"[284.0, 265.0, 310.0, 300.0]",0.0,0.0,false_negative
image148_JPG.rf.30a10f7ff9f60d018011be2f8b056fc8.jpg,0,0,"[158.0, 287.5, 184.0, 318.5]",0.0,0.2388,false_negative
image154_JPG.rf.41aad34fb93b1fb78471c02bc3fe3565.jpg,0,-1,"[264.6, 444.7, 296.2, 484.7]",0.3852,0.0,false_positive
image154_JPG.rf.41aad34fb93b1fb78471c02bc3fe3565.jpg,1,-1,"[314.0, 413.7, 361.2, 495.8]",0.3179,0.0,false_positive
image154_JPG.rf.41aad34fb93b1fb78471c02bc3fe3565.jpg,1,-1,"[257.8, 425.9, 307.1, 504.5]",0.2859,0.0,false_positive
image180_JPG.rf.07058a05941203fe1267994f6e9e0e3a.jpg,1,-1,"[167.9, 269.6, 247.2, 392.0]",0.5403,0.3685,false_positive
image180_JPG.rf.07058a05941203fe1267994f6e9e0e3a.jpg,0,-1,"[34.7, 159.7, 77.5, 218.4]",0.2943,0.0,false_positive
image180_JPG.rf.07058a05941203fe1267994f6e9e0e3a.jpg,1,1,"[129.5, 261.0, 178.5, 353.0]",0.0,0.0661,false_negative
image180_JPG.rf.07058a05941203fe1267994f6e9e0e3a.jpg,0,0,"[131.0, 294.0, 166.0, 343.0]",0.0,0.0,false_negative
image207_JPG.rf.01b26ee7dcc8f458e398910aaed78a22.jpg,0,-1,"[395.2, 231.0, 437.8, 289.7]",0.4409,0.0,false_positive
image214_JPG.rf.62aae75b6b0cba41c328b76dcd250f91.jpg,0,0,"[303.5, 283.2, 362.5, 392.8]",0.0,0.0926,false_negative
image214_JPG.rf.62aae75b6b0cba41c328b76dcd250f91.jpg,0,0,"[317.5, 299.5, 357.5, 361.5]",0.0,0.0434,false_negative
image217_JPG.rf.2a9bea9ad95d37c786f39484857cc1dd.jpg,0,-1,"[33.6, 179.9, 73.7, 240.6]",0.2902,0.0,false_positive
image217_JPG.rf.2a9bea9ad95d37c786f39484857cc1dd.jpg,0,0,"[242.5, 228.0, 312.5, 332.0]",0.0,0.1266,false_negative
image217_JPG.rf.2a9bea9ad95d37c786f39484857cc1dd.jpg,0,0,"[154.5, 251.5, 200.5, 325.5]",0.0,0.027,false_negative
image217_JPG.rf.2a9bea9ad95d37c786f39484857cc1dd.jpg,0,0,"[254.0, 246.0, 298.0, 314.0]",0.0,0.0625,false_negative
image236_JPG.rf.33e702765b740f96be08efab85fe6add.jpg,0,-1,"[78.9, 151.9, 119.7, 210.7]",0.4328,0.0,false_positive
image244_JPG.rf.12e059904cd2e85d6ede96682d8b4cc0.jpg,0,1,"[101.5, 164.2, 174.0, 272.7]",0.2617,0.8386,class_confusion
image244_JPG.rf.12e059904cd2e85d6ede96682d8b4cc0.jpg,1,-1,"[99.6, 160.5, 174.9, 272.7]",0.6778,0.7803,false_positive
image244_JPG.rf.12e059904cd2e85d6ede96682d8b4cc0.jpg,0,-1,"[379.8, 142.9, 422.9, 202.4]",0.3311,0.0,false_positive
image251_JPG.rf.25492b07bab3e1765557e2210c4e1b08.jpg,1,-1,"[169.7, 244.8, 234.1, 370.2]",0.7892,0.0023,false_positive
image251_JPG.rf.25492b07bab3e1765557e2210c4e1b08.jpg,0,-1,"[285.6, 268.8, 323.1, 330.0]",0.69,0.0,false_positive
image251_JPG.rf.25492b07bab3e1765557e2210c4e1b08.jpg,1,-1,"[317.0, 236.2, 375.3, 362.9]",0.6607,0.0074,false_positive
image251_JPG.rf.25492b07bab3e1765557e2210c4e1b08.jpg,0,-1,"[232.7, 268.6, 270.9, 332.8]",0.6511,0.0,false_positive
image251_JPG.rf.25492b07bab3e1765557e2210c4e1b08.jpg,0,-1,"[175.6, 270.9, 214.4, 332.4]",0.6245,0.0,false_positive
image251_JPG.rf.25492b07bab3e1765557e2210c4e1b08.jpg,0,-1,"[333.4, 267.7, 370.6, 323.6]",0.5514,0.0,false_positive
image251_JPG.rf.25492b07bab3e1765557e2210c4e1b08.jpg,1,-1,"[269.4, 241.3, 331.0, 364.3]",0.4697,0.0,false_positive
image251_JPG.rf.25492b07bab3e1765557e2210c4e1b08.jpg,1,-1,"[247.6, 103.4, 335.3, 252.4]",0.3999,0.1502,false_positive
image253_JPG.rf.609cbddd85a89f347eb2405cba432355.jpg,1,-1,"[303.5, 279.0, 365.9, 400.8]",0.8308,0.0184,false_positive
image253_JPG.rf.609cbddd85a89f347eb2405cba432355.jpg,0,-1,"[320.7, 306.2, 358.8, 369.4]",0.6879,0.0,false_positive
image253_JPG.rf.609cbddd85a89f347eb2405cba432355.jpg,0,-1,"[177.5, 282.6, 252.0, 400.2]",0.5889,0.0173,false_positive
image253_JPG.rf.609cbddd85a89f347eb2405cba432355.jpg,0,-1,"[257.5, 307.7, 304.9, 382.6]",0.4594,0.0,false_positive
image253_JPG.rf.609cbddd85a89f347eb2405cba432355.jpg,0,-1,"[183.6, 302.6, 227.7, 359.7]",0.3027,0.0,false_positive
image263_JPG.rf.10c8978c54fde9486c294fe882cc7974.jpg,0,0,"[415.5, 200.0, 448.5, 259.0]",0.0,0.0,false_negative
image270_JPG.rf.10292840d68989d2d2f4faea52146849.jpg,0,1,"[173.1, 171.8, 228.2, 246.0]",0.4604,0.8209,class_confusion
image270_JPG.rf.10292840d68989d2d2f4faea52146849.jpg,1,-1,"[258.5, 151.4, 344.4, 282.0]",0.8441,0.2994,false_positive
image270_JPG.rf.10292840d68989d2d2f4faea52146849.jpg,0,-1,"[78.1, 185.4, 165.2, 284.0]",0.7072,0.0,false_positive
image270_JPG.rf.10292840d68989d2d2f4faea52146849.jpg,1,-1,"[84.6, 194.4, 134.6, 256.6]",0.6288,0.0,false_positive
image270_JPG.rf.10292840d68989d2d2f4faea52146849.jpg,0,0,"[165.5, 158.0, 242.5, 277.0]",0.0,0.4463,false_negative
image270_JPG.rf.10292840d68989d2d2f4faea52146849.jpg,1,1,"[338.0, 139.5, 421.0, 281.5]",0.0,0.307,false_negative
image279_JPG.rf.4ced7dec9c6981acf678385536a128f5.jpg,0,-1,"[82.4, 163.6, 118.2, 222.8]",0.4628,0.0,false_positive
image279_JPG.rf.4ced7dec9c6981acf678385536a128f5.jpg,0,-1,"[395.7, 159.4, 433.8, 218.4]",0.4068,0.0,false_positive
image279_JPG.rf.4ced7dec9c6981acf678385536a128f5.jpg,1,1,"[143.2, 250.0, 191.8, 370.0]",0.0,0.0487,false_negative
image279_JPG.rf.4ced7dec9c6981acf678385536a128f5.jpg,1,1,"[281.2, 259.5, 329.8, 367.5]",0.0,0.0001,false_negative
image279_JPG.rf.4ced7dec9c6981acf678385536a128f5.jpg,0,0,"[286.2, 267.2, 316.8, 322.8]",0.0,0.0,false_negative
image279_JPG.rf.4ced7dec9c6981acf678385536a128f5.jpg,0,0,"[241.8, 266.5, 269.2, 319.5]",0.0,0.0,false_negative
image279_JPG.rf.4ced7dec9c6981acf678385536a128f5.jpg,0,0,"[193.5, 270.0, 222.5, 317.0]",0.0,0.0,false_negative
image279_JPG.rf.4ced7dec9c6981acf678385536a128f5.jpg,0,0,"[144.0, 265.2, 172.0, 313.8]",0.0,0.0011,false_negative
image285_JPG.rf.1b99c3483b9daebc52ce353ae966a416.jpg,1,0,"[80.6, 167.8, 124.6, 228.4]",0.2502,0.708,class_confusion
image285_JPG.rf.1b99c3483b9daebc52ce353ae966a416.jpg,0,0,"[412.0, 227.5, 449.0, 282.5]",0.0,0.0,false_negative
image314_JPG.rf.104db56c2c53cf50e9cc826ab5c95ead.jpg,0,0,"[260.2, 282.8, 297.8, 326.2]",0.0,0.0,false_negative
image314_JPG.rf.104db56c2c53cf50e9cc826ab5c95ead.jpg,0,0,"[305.2, 253.0, 371.8, 354.0]",0.0,0.0662,false_negative
image314_JPG.rf.104db56c2c53cf50e9cc826ab5c95ead.jpg,0,0,"[321.2, 267.0, 357.8, 322.0]",0.0,0.0048,false_negative
image345_JPG.rf.196ae331233a09430b9e1bab9949fa4c.jpg,0,0,"[81.0, 181.0, 113.0, 240.0]",0.0,0.0,false_negative
image345_JPG.rf.196ae331233a09430b9e1bab9949fa4c.jpg,0,0,"[418.5, 245.0, 452.5, 293.0]",0.0,0.0,false_negative
image348_JPG.rf.0282b623469a0eb0a1eb28a528255c39.jpg,0,-1,"[65.1, 199.3, 96.4, 253.4]",0.3044,0.0,false_positive
image348_JPG.rf.0282b623469a0eb0a1eb28a528255c39.jpg,0,-1,"[419.0, 201.7, 455.2, 256.8]",0.2897,0.0,false_positive
image359_JPG.rf.0c8ad45109c574900d2b4f9feb5c2d34.jpg,0,-1,"[91.8, 176.6, 149.8, 245.5]",0.7349,0.0,false_positive
image359_JPG.rf.0c8ad45109c574900d2b4f9feb5c2d34.jpg,0,-1,"[351.2, 203.8, 443.4, 315.3]",0.6715,0.0,false_positive
image359_JPG.rf.0c8ad45109c574900d2b4f9feb5c2d34.jpg,1,-1,"[391.3, 236.6, 437.8, 292.7]",0.5903,0.0,false_positive
image376_JPG.rf.02e129c8a5fb41fdbac05299f380ba97.jpg,0,-1,"[152.0, 166.0, 189.1, 223.6]",0.4801,0.0,false_positive
image376_JPG.rf.02e129c8a5fb41fdbac05299f380ba97.jpg,0,-1,"[209.7, 256.8, 251.1, 311.7]",0.4446,0.0,false_positive
image376_JPG.rf.02e129c8a5fb41fdbac05299f380ba97.jpg,1,-1,"[231.4, 145.3, 285.4, 241.8]",0.3346,0.3264,false_positive
image376_JPG.rf.02e129c8a5fb41fdbac05299f380ba97.jpg,0,-1,"[275.7, 266.8, 316.5, 320.9]",0.2543,0.0,false_positive
image376_JPG.rf.02e129c8a5fb41fdbac05299f380ba97.jpg,1,1,"[153.5, 237.0, 206.5, 335.0]",0.0,0.0114,false_negative
image376_JPG.rf.02e129c8a5fb41fdbac05299f380ba97.jpg,0,0,"[328.5, 272.5, 367.5, 335.5]",0.0,0.4329,false_negative
image376_JPG.rf.02e129c8a5fb41fdbac05299f380ba97.jpg,0,0,"[158.5, 255.5, 191.5, 305.5]",0.0,0.0,false_negative
image391_JPG.rf.12a9056f672ef8493c1cc652cf039cb6.jpg,0,-1,"[2.2, 168.8, 48.8, 237.5]",0.4733,0.0,false_positive
image402_JPG.rf.2ea3ed9daa65fb9f08c1e7adcd450138.jpg,0,0,"[73.0, 227.5, 107.0, 278.5]",0.0,0.0,false_negative
image439_JPG.rf.58642b0b0de76ead6043f4243ed8bad2.jpg,0,-1,"[334.7, 156.4, 395.9, 263.8]",0.6365,0.8462,false_positive
image439_JPG.rf.58642b0b0de76ead6043f4243ed8bad2.jpg,0,0,"[399.5, 180.0, 440.5, 238.0]",0.0,0.0,false_negative
image558_JPG.rf.20090148a194bb442caa166b235c59e4.jpg,0,0,"[298.5, 279.0, 363.5, 402.0]",0.0,0.0735,false_negative
image558_JPG.rf.20090148a194bb442caa166b235c59e4.jpg,0,0,"[323.0, 307.5, 363.0, 376.5]",0.0,0.0,false_negative
image558_JPG.rf.20090148a194bb442caa166b235c59e4.jpg,0,0,"[193.0, 321.0, 227.0, 378.0]",0.0,0.2466,false_negative
image560_JPG.rf.3d8c2fe2177716638be56f818f35aa71.jpg,0,0,"[61.5, 127.5, 101.5, 185.5]",0.0,0.0,false_negative
image560_JPG.rf.3d8c2fe2177716638be56f818f35aa71.jpg,0,0,"[164.5, 262.0, 208.5, 330.0]",0.0,0.3278,false_negative
image560_JPG.rf.3d8c2fe2177716638be56f818f35aa71.jpg,0,0,"[295.5, 280.5, 348.5, 350.5]",0.0,0.3279,false_negative
image668_JPG.rf.2e1c6194b8632c6ad6022bd689f3c61f.jpg,0,-1,"[172.0, 214.3, 261.0, 351.6]",0.3021,0.0924,false_positive
image726_JPG.rf.05e9172b44ae451d2a93087ea6ccaee0.jpg,0,-1,"[191.6, 152.2, 293.0, 316.7]",0.2893,0.2503,false_positive
image726_JPG.rf.05e9172b44ae451d2a93087ea6ccaee0.jpg,1,1,"[138.0, 192.5, 188.0, 255.5]",0.0,0.4605,false_negative
image781_JPG.rf.11eea9d4429214d91cb12e2291369142.jpg,1,-1,"[156.0, 247.0, 223.2, 364.0]",0.7811,0.0272,false_positive
